[load] data\fixed_feature_instances_multi.json  (720 instances)
  [weight_ankle_peak_vel_jogging_A018] side=low  F_csv=1389.30  F_check=1389.30
  [weight_ankle_peak_vel_jogging_A093] side=high  F_csv=1.58  F_check=1.58
  [weight_ankle_peak_vel_jogging_A072] side=high  F_csv=2.61  F_check=2.61
  [weight_ankle_peak_vel_jogging_A063] side=high  F_csv=4.72  F_check=4.72
  [weight_ankle_peak_vel_jogging_A070] side=high  F_csv=4.84  F_check=4.84
  [weight_ankle_peak_vel_walking_A146] side=low  F_csv=3186.87  F_check=3186.87
  [weight_ankle_peak_vel_walking_A006] side=low  F_csv=1972.48  F_check=1972.48
  [weight_ankle_peak_vel_walking_A449] side=low  F_csv=1560.31  F_check=1560.31
  [weight_ankle_peak_vel_walking_A450] side=low  F_csv=1364.26  F_check=1364.26
  [weight_ankle_peak_vel_walking_A035] side=high  F_csv=3.77  F_check=3.77
  [weight_ankle_peak_vel_walking_A066] side=high  F_csv=4.41  F_check=4.41
  [weight_ankle_peak_vel_walking_A034] side=high  F_csv=4.79  F_check=4.79
  [weight_ankle_peak_vel_walking_A025] side=high  F_csv=4.83  F_check=4.83
  [weight_ankle_peak_vel_kneeling_A098] side=low  F_csv=2510.41  F_check=2510.41
  [weight_ankle_peak_vel_kneeling_A193] side=low  F_csv=1294.39  F_check=1294.39
  [weight_ankle_peak_vel_kneeling_A167] side=low  F_csv=802.73  F_check=802.73
  [weight_ankle_peak_vel_kneeling_A049] side=low  F_csv=580.22  F_check=580.22
  [weight_ankle_peak_vel_kneeling_A123] side=high  F_csv=1.83  F_check=1.83
  [weight_ankle_peak_vel_kneeling_A031] side=high  F_csv=3.62  F_check=3.62
  [weight_ankle_peak_vel_kneeling_A023] side=high  F_csv=4.05  F_check=4.05
  [weight_ankle_peak_vel_kneeling_A120] side=high  F_csv=5.24  F_check=5.24
  [weight_ankle_rom_jogging_turning_A018] side=low  F_csv=82.65  F_check=82.65
  [weight_ankle_rom_jogging_turning_A029] side=low  F_csv=81.59  F_check=81.59
  [weight_ankle_rom_jogging_turning_A188] side=low  F_csv=75.04  F_check=75.04
  [weight_ankle_rom_jogging_turning_A021] side=low  F_csv=74.62  F_check=74.62
  [weight_ankle_rom_jogging_turning_A268] side=high  F_csv=34.64  F_check=34.64
  [weight_ankle_rom_jogging_turning_A266] side=high  F_csv=37.76  F_check=37.76
  [weight_ankle_rom_jogging_turning_A256] side=high  F_csv=39.82  F_check=39.82
  [weight_ankle_rom_jogging_turning_A255] side=high  F_csv=40.18  F_check=40.18
  [weight_ankle_rom_jumping_turning_A018] side=low  F_csv=83.31  F_check=83.31
  [weight_ankle_rom_jumping_turning_A029] side=low  F_csv=77.14  F_check=77.14
  [weight_ankle_rom_jumping_turning_A021] side=low  F_csv=67.54  F_check=67.54
  [weight_ankle_rom_jumping_turning_A030] side=low  F_csv=64.13  F_check=64.13
  [weight_ankle_rom_jumping_turning_A039] side=high  F_csv=3.73  F_check=3.73
  [weight_ankle_rom_jumping_turning_A025] side=high  F_csv=8.52  F_check=8.52
  [weight_ankle_rom_jumping_turning_A255] side=high  F_csv=26.62  F_check=26.62
  [weight_ankle_rom_jumping_turning_A035] side=high  F_csv=26.98  F_check=26.98
  [weight_ankle_rom_jogging_A029] side=low  F_csv=82.25  F_check=82.25
  [weight_ankle_rom_jogging_A018] side=low  F_csv=81.11  F_check=81.11
  [weight_ankle_rom_jogging_A543] side=low  F_csv=81.08  F_check=81.08
  [weight_ankle_rom_jogging_A024] side=low  F_csv=77.56  F_check=77.56
  [weight_ankle_rom_jogging_A093] side=high  F_csv=0.40  F_check=0.40
  [weight_ankle_rom_jogging_A063] side=high  F_csv=0.49  F_check=0.49
  [weight_ankle_rom_jogging_A072] side=high  F_csv=0.56  F_check=0.56
  [weight_ankle_rom_jogging_A070] side=high  F_csv=1.95  F_check=1.95
  [weight_ankle_rom_jumping_A018] side=low  F_csv=80.72  F_check=80.72
  [weight_ankle_rom_jumping_A359] side=low  F_csv=80.41  F_check=80.41
  [weight_ankle_rom_jumping_A418] side=low  F_csv=79.35  F_check=79.35
  [weight_ankle_rom_jumping_A029] side=low  F_csv=79.31  F_check=79.31
  [weight_ankle_rom_jumping_A408] side=high  F_csv=0.29  F_check=0.29
  [weight_ankle_rom_jumping_A353] side=high  F_csv=25.22  F_check=25.22
  [weight_ankle_rom_jumping_A253] side=high  F_csv=27.03  F_check=27.03
  [weight_ankle_rom_jumping_A365] side=high  F_csv=28.64  F_check=28.64
  [weight_ankle_rom_walking_turning_A018] side=low  F_csv=63.50  F_check=63.50
  [weight_ankle_rom_walking_turning_A029] side=low  F_csv=63.25  F_check=63.25
  [weight_ankle_rom_walking_turning_A030] side=low  F_csv=61.73  F_check=61.73
  [weight_ankle_rom_walking_turning_A203] side=low  F_csv=57.51  F_check=57.51
  [weight_ankle_rom_walking_turning_A025] side=high  F_csv=13.62  F_check=13.62
  [weight_ankle_rom_walking_turning_A060] side=high  F_csv=31.16  F_check=31.16
  [weight_ankle_rom_walking_turning_A161] side=high  F_csv=31.16  F_check=31.16
  [weight_ankle_rom_walking_turning_A069] side=high  F_csv=31.34  F_check=31.34
  [weight_ankle_rom_walking_A146] side=low  F_csv=85.44  F_check=85.44
  [weight_ankle_rom_walking_A247] side=low  F_csv=76.24  F_check=76.24
  [weight_ankle_rom_walking_A244] side=low  F_csv=74.58  F_check=74.58
  [weight_ankle_rom_walking_A248] side=low  F_csv=72.25  F_check=72.25
  [weight_ankle_rom_walking_A035] side=high  F_csv=0.69  F_check=0.69
  [weight_ankle_rom_walking_A066] side=high  F_csv=0.91  F_check=0.91
  [weight_ankle_rom_walking_A034] side=high  F_csv=1.43  F_check=1.43
  [weight_ankle_rom_walking_A429] side=high  F_csv=2.04  F_check=2.04
  [weight_ankle_rom_climbing_box_A049] side=low  F_csv=77.08  F_check=77.08
  [weight_ankle_rom_climbing_box_A099] side=low  F_csv=74.93  F_check=74.93
  [weight_ankle_rom_climbing_box_A141] side=low  F_csv=74.36  F_check=74.36
  [weight_ankle_rom_climbing_box_A065] side=low  F_csv=73.45  F_check=73.45
  [weight_ankle_rom_climbing_box_A372] side=high  F_csv=34.97  F_check=34.97
  [weight_ankle_rom_climbing_box_A367] side=high  F_csv=36.36  F_check=36.36
  [weight_ankle_rom_climbing_box_A161] side=high  F_csv=41.10  F_check=41.10
  [weight_ankle_rom_climbing_box_A225] side=high  F_csv=41.21  F_check=41.21
